"time","Y"
1973.08333333333,9007
1973.16666666667,8106
1973.25,8928
1973.33333333333,9137
1973.41666666667,10017
1973.5,10826
1973.58333333333,11317
1973.66666666667,10744
1973.75,9713
1973.83333333333,9938
1973.91666666667,9161
1974,8927
1974.08333333333,7750
1974.16666666667,6981
1974.25,8038
1974.33333333333,8422
1974.41666666667,8714
1974.5,9512
1974.58333333333,10120
1974.66666666667,9823
1974.75,8743
1974.83333333333,9129
1974.91666666667,8710
1975,8680
1975.08333333333,8162
1975.16666666667,7306
1975.25,8124
1975.33333333333,7870
1975.41666666667,9387
1975.5,9556
1975.58333333333,10093
1975.66666666667,9620
1975.75,8285
1975.83333333333,8433
1975.91666666667,8160
1976,8034
1976.08333333333,7717
1976.16666666667,7461
1976.25,7776
1976.33333333333,7925
1976.41666666667,8634
1976.5,8945
1976.58333333333,10078
1976.66666666667,9179
1976.75,8037
1976.83333333333,8488
1976.91666666667,7874
1977,8647
1977.08333333333,7792
1977.16666666667,6957
1977.25,7726
1977.33333333333,8106
1977.41666666667,8890
1977.5,9299
1977.58333333333,10625
1977.66666666667,9302
1977.75,8314
1977.83333333333,8850
1977.91666666667,8265
1978,8796
1978.08333333333,7836
1978.16666666667,6892
1978.25,7791
1978.33333333333,8129
1978.41666666667,9115
1978.5,9434
1978.58333333333,10484
1978.66666666667,9827
1978.75,9110
1978.83333333333,9070
1978.91666666667,8633
1979,9240
