Time,Time Code,Country Name,Country Code,Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Population growth (annual %) [SP.POP.GROW],Agricultural land (% of land area) [AG.LND.AGRI.ZS],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]"
2000,YR2000,Australia,AUS,84.235,1.19227232344832,59.2881038230738,3.11490323731114
2000,YR2000,Austria,AUT,60.213,0.240466652446524,35.630150266602,1.64730021298979
2000,YR2000,Belgium,BEL,97.129,0.242517956221334,45.891677675033,1.17600527973714
2000,YR2000,Canada,CAN,79.478,0.931281553452429,6.83580221714355,2.09165300710719
2000,YR2000,Chile,CHL,86.073,1.17718527887184,20.3219229300151,5.08296243051118
2000,YR2000,Czechia,CZE,73.988,-0.280414108078884,55.3901902420085,3.25052833080989
2000,YR2000,Denmark,DNK,85.1,0.334233618829261,66.175,2.151853225624
2000,YR2000,Estonia,EST,69.368,0.483707161729931,23.2602028780373,3.88500958820541
2000,YR2000,Finland,FIN,82.183,0.2076065154133,7.2819199579763,2.95363597719177
2000,YR2000,France,FRA,75.871,0.684945783642239,54.4360781420356,2.0983575513075
2000,YR2000,Germany,DEU,74.965,0.135431600393084,48.9124516406362,0.994789221891906
2000,YR2000,Greece,GRC,72.716,0.409041838238246,66.1675717610551,5.43524818135254
2000,YR2000,Hungary,HUN,64.575,-0.259764908288633,65.32024101763,4.93445987752074
2000,YR2000,Iceland,ISL,92.401,1.36919283329812,18.8428927680798,7.00385857422343
2000,YR2000,Ireland,IRL,59.155,1.33304266586712,64.044128320511,2.50492903890048
2000,YR2000,Israel,ISR,91.203,2.64233191305756,26.1552680221811,1.33047150849241
2000,YR2000,Italy,ITA,67.222,0.045303631138613,52.8780797922345,2.56361411951499
2000,YR2000,Japan,JPN,78.649,0.167275578113187,14.4252400548697,1.5178803390325
2000,YR2000,"Korea, Rep.",KOR,79.621,0.836180864297766,20.4540742276591,3.8577920379894
2000,YR2000,Latvia,LVA,68.067,-0.963935407092365,25.5194690407701,4.4653191603977
2000,YR2000,Lithuania,LTU,66.986,-0.703385440488978,54.5309508615188,5.58605077769058
2000,YR2000,Luxembourg,LUX,84.216,1.34408299573143,49.7191644072932,0.596866957478124
2000,YR2000,Mexico,MEX,74.722,1.4410967038977,54.6979088968338,3.32308631189687
2000,YR2000,Netherlands,NLD,76.795,0.714770362784392,58.0005924170616,2.29863696801156
2000,YR2000,New Zealand,NZL,86.021,0.587564086381346,58.5355664425962,7.75290180992832
2000,YR2000,Norway,NOR,76.02,0.649044821192665,2.85288738487148,1.82301531961815
2000,YR2000,Poland,POL,61.716,-1.04433539837844,60.1162297169349,3.12672432106006
2000,YR2000,Portugal,PRT,54.399,0.702859953319024,43.2391256830601,3.10974828415915
2000,YR2000,Slovak Republic,SVK,56.233,-0.135376487794425,50.7276507276507,1.71030559393339
2000,YR2000,Slovenia,SVN,50.754,0.29607496005045,25.7199602780536,3.08556322926251
2000,YR2000,Spain,ESP,76.262,0.447137014535835,59.6513026052104,3.74530563354845
2000,YR2000,Sweden,SWE,84.026,0.160575484575313,7.30127704223281,1.94285989541354
2000,YR2000,Switzerland,CHE,73.383,0.561954617400164,39.6214958000202,1.05153529982011
2000,YR2000,Turkiye,TUR,64.741,1.51810979845438,52.5954029858503,10.0328526543258
2000,YR2000,United Kingdom,GBR,78.651,0.357300887421605,70.1194560410036,0.850705507510241
2000,YR2000,United States,USA,79.057,1.11276899679534,45.2305848555761,1.15055536360653
2001,YR2001,Australia,AUS,84.1,1.34835834227145,59.3181729429988,3.50219780997615
2001,YR2001,Austria,AUT,59.934,0.382799394483217,35.3380998545807,1.67070339573168
2001,YR2001,Belgium,BEL,97.186,0.343951157623668,45.7992073976222,1.10935029767163
2001,YR2001,Canada,CAN,79.81,1.08635096562717,6.83816244106634,2.11789067175753
2001,YR2001,Chile,CHL,86.363,1.12619894374837,20.3757202111005,4.06242026416145
2001,YR2001,Czechia,CZE,73.877,-0.375719704335905,55.3643069755403,3.20352708630753
